protocol,track,representation,model,fold,n_features,n_discovered,n_train,n_validation,rmse,mae,r2,target_mean,target_std
fold_municipality_grouped,clean,B5_all,ExtraTrees,2,906,0,122,16,1.247369860174062,1.1759869097222218,-7.814305851429269,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B5_all,ExtraTrees,3,906,0,128,10,0.9191983514818983,0.9017133333333345,-25.4295288988407,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B5_all,ExtraTrees,4,906,0,65,73,0.9105863581686201,0.8203132191780836,-1.3228288455617045,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B5_all,ExtraTrees,5,906,0,132,6,0.6735512439468327,0.6472350000000008,0.27580287352380795,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,906,20,110,28,0.7060462507584946,0.5720571249555684,0.33428762071142626,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,906,20,110,28,0.6290668513599272,0.5205685526629683,0.3881323298689209,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,3,906,20,110,28,0.6547140384419715,0.5242601813028315,0.396301103698917,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,4,906,20,111,27,0.7180474771359214,0.5114506358772819,0.3067277550411025,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,5,906,20,111,27,0.643409498246819,0.4841214917329668,0.41475119489121093,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B7_all_plus_discovery,Ridge10,1,906,20,105,33,0.6880143684904224,0.5763907252474764,-2.3365252225919755,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B7_all_plus_discovery,Ridge10,2,906,20,122,16,1.4164862957821798,1.3040268667689436,-10.366385419152744,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B7_all_plus_discovery,Ridge10,3,906,20,128,10,1.1400421002871488,0.9618835068798564,-39.65488411983896,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B7_all_plus_discovery,Ridge10,4,906,20,65,73,0.7995436846551498,0.6552287186771268,-0.7908504721046787,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B7_all_plus_discovery,Ridge10,5,906,20,132,6,1.0955481466312005,0.9607221070042259,-0.9159247563257567,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B7_all_plus_discovery,ExtraTrees,1,906,20,110,28,0.5592803121289958,0.38050065476190426,0.5822856514484301,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B7_all_plus_discovery,ExtraTrees,2,906,20,110,28,0.4736305584325371,0.3771793055555546,0.6531486929322465,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B7_all_plus_discovery,ExtraTrees,3,906,20,110,28,0.39888838933282195,0.2943452380952386,0.7759113470667821,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B7_all_plus_discovery,ExtraTrees,4,906,20,111,27,0.5529059473687183,0.3584338065843622,0.5889449242268283,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B7_all_plus_discovery,ExtraTrees,5,906,20,111,27,0.4730087168469061,0.37567532921810637,0.6836965794602099,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B7_all_plus_discovery,ExtraTrees,1,906,20,105,33,0.740782471657613,0.6330473232323243,-2.8679494626097837,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B7_all_plus_discovery,ExtraTrees,2,906,20,122,16,1.2697143861722673,1.1986936111111115,-8.132921074306735,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B7_all_plus_discovery,ExtraTrees,3,906,20,128,10,1.055057945077389,1.0478125555555537,-33.819583580059465,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B7_all_plus_discovery,ExtraTrees,4,906,20,65,73,0.7599025673856108,0.6628911948249631,-0.6176730667339783,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B7_all_plus_discovery,ExtraTrees,5,906,20,132,6,0.6118216061735313,0.582717222222221,0.40246254672037873,4.248333333333332,0.8670274889913622
fold_state_stratified,competition,B0_base,Ridge10,1,1400,0,110,28,0.6195744186950344,0.4644770443633413,0.4873661419102796,3.9039285714285716,0.8812253223682743
fold_state_stratified,competition,B0_base,Ridge10,2,1400,0,110,28,0.697894918647468,0.5163357604724707,0.24691503409203042,4.050714285714286,0.818964696799059
fold_state_stratified,competition,B0_base,Ridge10,3,1400,0,110,28,0.7060879646679847,0.5778895291980455,0.2978422504877686,3.9474999999999993,0.8581013710296488
fold_state_stratified,competition,B0_base,Ridge10,4,1400,0,111,27,0.6083021797647631,0.44599562258876335,0.5024505646088044,3.817407407407407,0.8788129782338507
fold_state_stratified,competition,B0_base,Ridge10,5,1400,0,111,27,0.6261588522888352,0.4884139331027654,0.4457130553718327,4.055925925925926,0.8570623317214684
fold_municipality_grouped,competition,B0_base,Ridge10,1,1400,0,105,33,0.7317558710993957,0.5684565800124743,-2.7742601111553786,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,competition,B0_base,Ridge10,2,1400,0,122,16,1.3541616885301975,1.2411130257562373,-9.388160941421477,3.08125,0.43392587692677037
fold_municipality_grouped,competition,B0_base,Ridge10,3,1400,0,128,10,0.5495824060162676,0.4406042114635225,-8.447928336908545,4.520999999999999,0.1884704515596839
fold_municipality_grouped,competition,B0_base,Ridge10,4,1400,0,65,73,0.6969569971142117,0.5641341125705509,-0.36077679990747913,4.456712328767122,0.6015998457689494
