protocol,outer_fold,meta_model,meta_kind,n_train,n_validation,n_base_candidates,n_meta_features,inner_best_rmse,best_params_json,elapsed_seconds,rmse,mae,r2
fold_state_stratified,5,HistGBStack,hist_gradient_boosting,111,27,10,15,0.6179517984539337,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_leaf_nodes"": 5}",1.2866944000124931,0.5122968495946341,0.4118117595407225,0.6289700478451732
fold_municipality_grouped,1,EqualTop3,equal_top3,105,33,10,15,,{},0.001297699986025691,0.451469564244117,0.3676354748324278,-0.4366677782577584
fold_municipality_grouped,1,MeanAll,mean_all,105,33,10,15,,{},0.0010452000424265862,0.4878447810732627,0.38482187453059674,-0.6775007484002387
fold_municipality_grouped,1,ConvexAll,convex_simplex,105,33,10,15,,{},0.006504799937829375,0.5011747693735256,0.3789507900151551,-0.7704260631601585
fold_municipality_grouped,1,RidgeStack,ridge,105,33,10,15,0.9530304594098734,"{""model__alpha"": 10.0}",0.0709969000890851,1.5379660513041127,1.449426166579333,-15.67219933421202
fold_municipality_grouped,1,ElasticNetStack,elastic_net,105,33,10,15,0.9366979238678373,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",0.09390649991109967,1.6726712772537224,1.5970133236844497,-18.720621363788432
fold_municipality_grouped,1,HuberStack,huber,105,33,10,15,1.3744683925240972,"{""model__alpha"": 0.1, ""model__epsilon"": 1.2}",0.3486556001007557,1.2832866159280496,1.1938329402188916,-10.607714709108423
fold_municipality_grouped,1,ExtraTreesStack,extra_trees,105,33,10,15,1.0073299199151784,"{""max_features"": 1.0, ""min_samples_leaf"": 8}",4.81838189996779,1.3475112862277119,1.2944826984325437,-11.798651649388653
fold_municipality_grouped,1,HistGBStack,hist_gradient_boosting,105,33,10,15,1.03422112243688,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 5}",1.2047629000153393,1.2817886932417517,1.2242907256121816,-10.580632198959808
fold_municipality_grouped,2,EqualTop3,equal_top3,122,16,10,15,,{},0.0013191001489758492,1.0575434003765507,0.9524183422077573,-5.335691506574007
fold_municipality_grouped,2,MeanAll,mean_all,122,16,10,15,,{},0.0011106000747531652,1.0688320251429853,0.9580081540609038,-5.471672624046057
fold_municipality_grouped,2,ConvexAll,convex_simplex,122,16,10,15,,{},0.007648800034075975,1.1904672484996752,1.1003636190437414,-7.028465170526648
fold_municipality_grouped,2,RidgeStack,ridge,122,16,10,15,0.7708454661438662,"{""model__alpha"": 10.0}",0.06848960020579398,1.396853785228444,1.3076661571776993,-10.053492527342337
fold_municipality_grouped,2,ElasticNetStack,elastic_net,122,16,10,15,0.7984856305844588,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.0987798001151532,1.3223504159529276,1.2308887200182363,-8.905826939104788
fold_municipality_grouped,2,HuberStack,huber,122,16,10,15,0.9746153920276691,"{""model__alpha"": 0.001, ""model__epsilon"": 1.5}",0.4149518997874111,2.308105042888955,2.163510330701661,-29.179272307732077
fold_municipality_grouped,2,ExtraTreesStack,extra_trees,122,16,10,15,0.7534822823104359,"{""max_features"": 1.0, ""min_samples_leaf"": 8}",4.873295400058851,1.256738557539497,1.168133209507718,-7.947207375827675
fold_municipality_grouped,2,HistGBStack,hist_gradient_boosting,122,16,10,15,0.6979857271538922,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 5}",1.3821794998366386,1.2008115006711797,0.9844116685293111,-7.168593817147768
fold_municipality_grouped,3,EqualTop3,equal_top3,128,10,10,15,,{},0.0014339000917971134,0.5776307097341558,0.5511532896055948,-9.436899397165508
fold_municipality_grouped,3,MeanAll,mean_all,128,10,10,15,,{},0.001104000024497509,0.49683275875191196,0.46659849632707295,-6.7213172188381
fold_municipality_grouped,3,ConvexAll,convex_simplex,128,10,10,15,,{},0.0034058999735862017,0.9604833768245276,0.9282533333333317,-27.85696509606951
fold_municipality_grouped,3,RidgeStack,ridge,128,10,10,15,0.9386557085377136,"{""model__alpha"": 10.0}",0.07056310004554689,1.054982183103784,1.0202707385329706,-33.81458308569002
fold_municipality_grouped,3,ElasticNetStack,elastic_net,128,10,10,15,0.9735613859452054,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.10507220006547868,1.005663396560677,0.9715719067930066,-30.635611598171863
fold_municipality_grouped,3,HuberStack,huber,128,10,10,15,1.3672592320899153,"{""model__alpha"": 0.1, ""model__epsilon"": 1.2}",0.32557319989427924,1.2141379383813973,1.1801684513056983,-45.11126195430034
fold_municipality_grouped,3,ExtraTreesStack,extra_trees,128,10,10,15,1.0833280952881361,"{""max_features"": 0.5, ""min_samples_leaf"": 3}",4.879247199976817,0.7669044086225038,0.659070878623692,-17.3972714806416
fold_municipality_grouped,3,HistGBStack,hist_gradient_boosting,128,10,10,15,1.104532442727839,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 3}",1.2598320001270622,1.0032993556227956,0.7237104713770146,-30.48705298861758
fold_municipality_grouped,4,EqualTop3,equal_top3,65,73,10,15,,{},0.0013762000016868114,0.806806328505149,0.7019705494095123,-0.8235325649827479
