protocol,representation,model,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,catboost_task_type,elapsed_seconds,rmse,mae,r2
fold_state_stratified,C1_agronomic,PLS,4,350,0,0,111,27,0.5248203205467942,"{""n_components"": 2}",,0.21758759999647737,0.6329142271758625,0.44045576137904163,0.46137412973986325
fold_state_stratified,C1_agronomic,PCA_RBF,4,350,0,0,111,27,3.4670407178559675,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.6066431999206543,3.148801051738614,2.997022488059782,-12.33177378737734
fold_state_stratified,C1_agronomic,PCA_Poly2,4,350,0,0,111,27,1.170180935133634,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.44179429998621345,0.6935297138420152,0.5228866104098763,0.3532631037246291
fold_state_stratified,C1_agronomic,Ridge,5,350,0,0,111,27,0.563015372875707,"{""alpha"": 100.0}",,0.1644617998972535,0.5485320663210702,0.42435762788034054,0.5746272727682493
fold_state_stratified,C1_agronomic,ElasticNet,5,350,0,0,111,27,0.534982698622064,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",,1.8666801999788731,0.5301832755688727,0.40971720053797833,0.6026093469469648
fold_state_stratified,C1_agronomic,ExtraTrees,5,350,0,0,111,27,0.5414849303563669,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,3.55711799999699,0.5152454732005677,0.40545231481481436,0.6246866870544665
fold_state_stratified,C1_agronomic,CatBoost,5,350,0,0,111,27,0.5434210671595988,"{""depth"": 5, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.06}",GPU,25.93763229995966,0.4848696396168738,0.3640024159966324,0.6676347711511585
fold_state_stratified,C1_agronomic,PLS,5,350,0,0,111,27,0.5518200265191587,"{""n_components"": 4}",,0.16438760003075004,0.528094671348765,0.3992565830228916,0.6057341417043811
fold_state_stratified,C1_agronomic,PCA_RBF,5,350,0,0,111,27,3.426494878257369,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.44149990007281303,3.4249310011600795,3.2358760366525,-15.583234926572842
fold_state_stratified,C1_agronomic,PCA_Poly2,5,350,0,0,111,27,1.0549522161385634,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.4355581998825073,0.6056250641644939,0.47272592290545457,0.4814707248465041
fold_municipality_grouped,C1_agronomic,Ridge,1,350,0,0,105,33,0.8196246145035397,"{""alpha"": 1000.0}",,0.1625550000462681,0.5663767576535026,0.43962156929710605,-1.2610503936789175
fold_municipality_grouped,C1_agronomic,ElasticNet,1,350,0,0,105,33,0.924812123603152,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,1.8389369000215083,0.5520552647997801,0.4358701967816776,-1.1481495259750552
fold_municipality_grouped,C1_agronomic,ExtraTrees,1,350,0,0,105,33,0.8727057076494265,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,3.5988324999343604,0.6475103197730278,0.5539912878787836,-1.9552401933817936
fold_municipality_grouped,C1_agronomic,CatBoost,1,350,0,0,105,33,0.8459257611906104,"{""depth"": 4, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.06}",GPU,25.902950400020927,0.4438290934649412,0.3472658192175858,-0.3884521923639974
fold_municipality_grouped,C1_agronomic,PLS,1,350,0,0,105,33,0.7057390645306042,"{""n_components"": 4}",,0.15578310005366802,0.793025859564586,0.600623813231546,-3.432758739020361
fold_municipality_grouped,C1_agronomic,PCA_RBF,1,350,0,0,105,33,3.9849551209715615,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.42552719986997545,3.060909671610201,3.037292347888141,-65.03899010574257
fold_municipality_grouped,C1_agronomic,PCA_Poly2,1,350,0,0,105,33,2.5309630406997496,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.4393518997821957,1.9487090304336951,1.4841593400303346,-25.766611249740986
fold_municipality_grouped,C1_agronomic,Ridge,2,350,0,0,122,16,0.5799310693681884,"{""alpha"": 100.0}",,0.16575939999893308,1.425396356600124,1.3160695417330557,-10.509830094991822
fold_municipality_grouped,C1_agronomic,ElasticNet,2,350,0,0,122,16,0.48702551194658716,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",,2.269508400000632,1.2552117768770457,1.1846401182489825,-7.925481098286626
fold_municipality_grouped,C1_agronomic,ExtraTrees,2,350,0,0,122,16,0.512838951387605,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,3.7004754999652505,1.4774669041645156,1.4077593750000013,-11.366111173772483
fold_municipality_grouped,C1_agronomic,CatBoost,2,350,0,0,122,16,0.6458398290677856,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,26.232668099924922,1.2664399348209971,1.2004171402243287,-8.085876250905274
fold_municipality_grouped,C1_agronomic,PLS,2,350,0,0,122,16,0.5653895926428846,"{""n_components"": 2}",,0.16892979992553592,1.0712845524581796,0.937628326137439,-5.501406320820838
fold_municipality_grouped,C1_agronomic,PCA_RBF,2,350,0,0,122,16,3.8639160942271302,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.49195239995606244,3.0772160493161134,3.04473426401304,-52.643067165903496
fold_municipality_grouped,C1_agronomic,PCA_Poly2,2,350,0,0,122,16,1.3908556774483631,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.4744106000289321,1.4464638700824415,1.035433792389899,-10.85257752219942
fold_municipality_grouped,C1_agronomic,Ridge,3,350,0,0,128,10,0.8593733897585828,"{""alpha"": 1000.0}",,0.16607729997485876,0.43818227210301064,0.4022534450981379,-5.005933985590936
fold_municipality_grouped,C1_agronomic,ElasticNet,3,350,0,0,128,10,0.8657232275240186,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,2.115601100027561,0.4337987344340001,0.4019179320216832,-4.886369357707149
fold_municipality_grouped,C1_agronomic,ExtraTrees,3,350,0,0,128,10,0.7131831963239187,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,3.5513066998682916,0.960483376824528,0.928253333333332,-27.856965096069537
fold_municipality_grouped,C1_agronomic,CatBoost,3,350,0,0,128,10,0.7760495387563321,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,28.26958300010301,0.8047698429224543,0.7840660853289327,-19.258828867885484
fold_municipality_grouped,C1_agronomic,PLS,3,350,0,0,128,10,0.8007970507638488,"{""n_components"": 2}",,0.16501719993539155,0.39722023128346545,0.34943355007221955,-3.9355285476833686
