protocol,outer_fold,stage,candidate,level1_fold,candidate_index,mean_test_rmse,std_test_rmse,rank_test_score,params_json
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,2.0,4,0.6400439571968741,0.04302632293328157,2,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,3.0,0,0.5801633370011756,0.0780232807608417,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,3.0,1,0.584923416973885,0.027159667197325987,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,3.0,2,0.629962343644161,0.034443133938730386,3,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,3.0,3,0.6335761633843416,0.03738738982654244,5,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,3.0,4,0.6333481277224782,0.037073488817510436,4,"{""model__n_components"": 20}"
fold_state_stratified,1,outer_refit,B06_C2_PLS,,0,0.5466457781438375,0.06814019737839438,1,"{""model__n_components"": 2}"
fold_state_stratified,1,outer_refit,B06_C2_PLS,,1,0.6045205063158269,0.027133569079234466,2,"{""model__n_components"": 4}"
fold_state_stratified,1,outer_refit,B06_C2_PLS,,2,0.6260805977177465,0.034295149858462916,3,"{""model__n_components"": 8}"
fold_state_stratified,1,outer_refit,B06_C2_PLS,,3,0.6656845759711164,0.009214448691360231,4,"{""model__n_components"": 12}"
fold_state_stratified,1,outer_refit,B06_C2_PLS,,4,0.6838470110635541,0.015551817721622655,5,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,1.0,0,0.5472181818954442,0.0325097509662427,4,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,1.0,1,0.5537874062003365,0.02556502051009424,5,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,1.0,2,0.5704627746503113,0.012073643122914812,6,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,1.0,3,0.5449022885984208,0.04426519676933349,3,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,1.0,4,0.5395565676741136,0.04498317673619728,1,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,1.0,5,0.5422176678662446,0.039852504056524074,2,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,2.0,0,0.49427802366025186,0.032895298630002484,1,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,2.0,1,0.5020403249860361,0.029964984332384176,2,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,2.0,2,0.5280271681114009,0.026250201556228925,6,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,2.0,3,0.5079557738109566,0.026189617176241603,3,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 2}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,2.0,4,0.5126803551407455,0.031566830674220725,4,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 3}"
fold_state_stratified,1,level1_crossfit,B07_C1_ExtraTrees,2.0,5,0.527796608379471,0.0165068722114749,5,"{""model__max_features"": 0.3, ""model__min_samples_leaf"": 5}"
