family,split_id,method,rmse,mae,r2
fold_state_stratified,fold_state_stratified_fold3,E13_PLS_CatBoost,0.4264463678617756,0.3193739102121764,0.7438785717332383
fold_state_stratified,fold_state_stratified_fold3,E123_PLS_Ridge_CatBoost,0.43522680124996105,0.33419795419036497,0.7332230284384991
fold_state_stratified,fold_state_stratified_fold3,LocalE13_w0p10,0.3793845361767053,0.2726933932736644,0.7972894624363366
fold_state_stratified,fold_state_stratified_fold3,LocalE13_w0p20,0.379787501836711,0.2721216202121684,0.7968586132103515
fold_state_stratified,fold_state_stratified_fold3,LocalE13_w0p30,0.3814727091330247,0.27447203058828434,0.7950518404379984
fold_state_stratified,fold_state_stratified_fold3,LocalE123_w0p10,0.37957509674273676,0.2735003950875012,0.7970857728683249
fold_state_stratified,fold_state_stratified_fold3,LocalE123_w0p20,0.3803469375555534,0.27338629021291067,0.7962597085717803
fold_state_stratified,fold_state_stratified_fold3,LocalE123_w0p30,0.38257454639731436,0.27702351072854203,0.7938661952263213
fold_state_stratified,fold_state_stratified_fold3,ConvexStack,0.35912290971307176,0.26211428343386456,0.8183634276298788
fold_state_stratified,fold_state_stratified_fold3,RidgeStack,0.36052834490416463,0.26169623300832734,0.8169389685230883
fold_state_stratified,fold_state_stratified_fold3,ElasticNetStack,0.37531322747731855,0.27462307807317615,0.8016168338489718
fold_state_stratified,fold_state_stratified_fold3,HuberStack,0.3421154721548518,0.2533071616742793,0.8351600376710754
fold_state_stratified,fold_state_stratified_fold3,ExtraTreesStack,0.3279314037945374,0.24801903900271058,0.8485451825965399
fold_state_stratified,fold_state_stratified_fold3,HistGBStack,0.41229899538585396,0.33201271551901884,0.7605903627338411
fold_state_stratified,fold_state_stratified_fold3,MoE_Support,0.38069590981536644,0.2856328519440175,0.7958856693972706
fold_state_stratified,fold_state_stratified_fold4,PLS_C0,0.6132812106985885,0.4593131214280921,0.4942722194430931
