protocol,fold,rank,operation,left,right,formula,abs_spearman_train,signed_spearman_train,expression_key
fold_municipality_grouped,1,7,safe_ratio,agro_water__2025__precip_minus_aeti_season,soilgrids__soc__depth_weighted_0_30cm,(agro_water__2025__precip_minus_aeti_season) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.4762356812862236,-0.4762356812862236,safe_ratio::agro_water__2025__precip_minus_aeti_season::soilgrids__soc__depth_weighted_0_30cm
fold_municipality_grouped,1,8,symmetric_change,agro_water__2025__precip_minus_aeti_season,soilgrids__soc__depth_weighted_0_30cm,2*((agro_water__2025__precip_minus_aeti_season)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(agro_water__2025__precip_minus_aeti_season)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.4762356812862236,-0.4762356812862236,symmetric_change::agro_water__2025__precip_minus_aeti_season::soilgrids__soc__depth_weighted_0_30cm
fold_municipality_grouped,1,9,reverse_safe_ratio,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) / (abs(clim_official_2025__prec__season_sum) + eps),0.4753501991761211,0.4753501991761211,reverse_safe_ratio::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent
fold_municipality_grouped,1,10,safe_ratio,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_mean_recent) + eps),0.4753501991761211,-0.4753501991761211,safe_ratio::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent
fold_municipality_grouped,1,11,symmetric_change,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,2*((clim_official_2025__prec__season_sum)-(siap_hist__yield_mean_recent)) / (abs(clim_official_2025__prec__season_sum)+abs(siap_hist__yield_mean_recent)+eps),0.4753501991761211,-0.4753501991761211,symmetric_change::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent
fold_municipality_grouped,1,12,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.474980770817135,0.474980770817135,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_municipality_grouped,1,13,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),0.474980770817135,-0.474980770817135,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_municipality_grouped,1,14,symmetric_change,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,2*((clim_official_2025__prec__season_sum)-(soilgrids__nitrogen__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__nitrogen__depth_weighted_0_30cm)+eps),0.474980770817135,-0.474980770817135,symmetric_change::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_municipality_grouped,1,15,difference,clim_official_2025__prec__season_sum,agro_thermal__2025__gdd_proxy_base5p0c,(clim_official_2025__prec__season_sum) - (agro_thermal__2025__gdd_proxy_base5p0c),0.4707797340477538,-0.4707797340477538,difference::clim_official_2025__prec__season_sum::agro_thermal__2025__gdd_proxy_base5p0c
fold_municipality_grouped,1,16,reverse_difference,clim_official_2025__prec__season_sum,agro_thermal__2025__gdd_proxy_base5p0c,(agro_thermal__2025__gdd_proxy_base5p0c) - (clim_official_2025__prec__season_sum),0.4707797340477538,0.4707797340477538,reverse_difference::clim_official_2025__prec__season_sum::agro_thermal__2025__gdd_proxy_base5p0c
fold_municipality_grouped,1,17,safe_ratio,clim_official_2025__prec__season_sum,siap_hist__yield_trend_recent,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),0.4699916798732051,-0.4699916798732051,safe_ratio::clim_official_2025__prec__season_sum::siap_hist__yield_trend_recent
fold_municipality_grouped,1,18,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,(agro_thermal__2025__gdd_proxy_base5p0c) / (abs(siap_hist__yield_trend_recent) + eps),0.4681327104530086,-0.4681327104530086,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_thermal__2025__gdd_proxy_base5p0c
fold_municipality_grouped,1,19,sum,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,(clim_official_2025__prec__season_sum) + (siap_hist__yield_mean_recent),0.4596847863830038,-0.4596847863830038,sum::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent
fold_municipality_grouped,1,20,sum,clim_official_2025__prec__season_sum,siap_hist__yield_trend_recent,(clim_official_2025__prec__season_sum) + (siap_hist__yield_trend_recent),0.4596847863830038,-0.4596847863830038,sum::clim_official_2025__prec__season_sum::siap_hist__yield_trend_recent
