position,ID_POLIGONO,meta_estado,meta_municipio,nearest_geo_km,nearest_agro_distance,best_temporal_similarity,adversarial_target_probability,x_geo_support,x_agro_support,x_temporal_support,x_adversarial_support,x_support_score,x_support_tier,recommended_method
38,AGC_039,Tlaxcala,Calpulalpan,0.48496113780042865,7.43269113591606,0.9956336615862014,0.4309390340642221,0.3333333333333333,0.644927536231884,0.9855072463768116,0.47101449275362317,0.608695652173913,mid,GeoKNN_10
41,AGC_042,Hidalgo,Singuilucan,0.3165904821166707,9.42313052096367,0.9838209803259612,0.4238648212438697,0.6884057971014492,0.391304347826087,0.6666666666666666,0.5,0.5615942028985507,mid,GeoKNN_10
42,AGC_043,Puebla,Chignahuapan,0.3500530419525511,13.797569458367052,0.971235057320184,0.7019955101648725,0.6014492753623188,0.050724637681159424,0.13043478260869565,0.057971014492753624,0.2101449275362319,low,LocalRidge_k30_a100
49,AGC_050,Tlaxcala,Calpulalpan,0.600010102736456,7.098962493482945,0.9873597059461872,0.3364549630420134,0.2898550724637681,0.6884057971014492,0.8333333333333334,0.6594202898550725,0.6177536231884058,mid,GeoKNN_10
51,AGC_052,Hidalgo,Cuautepec de Hinojosa,0.24532895440160474,10.01973296700272,0.9869271171650358,0.6846040931700139,0.7463768115942029,0.32608695652173914,0.8333333333333334,0.07971014492753623,0.4963768115942029,mid,GeoKNN_10
60,AGC_061,Tlaxcala,Calpulalpan,0.9877949440907986,13.37571951645951,0.9819883632758049,0.6445229386027433,0.15217391304347827,0.06521739130434782,0.5289855072463768,0.16666666666666666,0.22826086956521738,low,LocalRidge_k30_a100
62,AGC_063,Puebla,Chignahuapan,0.6196669465882302,14.34773438118994,0.9611088014809746,0.5092307449561889,0.2826086956521739,0.050724637681159424,0.057971014492753624,0.34057971014492755,0.1829710144927536,low,LocalRidge_k30_a100
64,AGC_065,Hidalgo,Almoloya,1.9227485745419386,9.419605788282523,0.9832974420339468,0.6499136867760971,0.057971014492753624,0.391304347826087,0.644927536231884,0.15217391304347827,0.3115942028985507,low,LocalRidge_k30_a100
70,AGC_071,Tlaxcala,Calpulalpan,0.1974120482182879,6.073533933838019,0.9759351922235308,0.5301573032629935,0.8188405797101449,0.8623188405797102,0.2608695652173913,0.2826086956521739,0.5561594202898551,mid,GeoKNN_10
74,AGC_075,Tlaxcala,Calpulalpan,0.3856888380151068,11.384320674643128,0.9746479770595694,0.5631882089177005,0.5507246376811594,0.21739130434782608,0.21739130434782608,0.2246376811594203,0.302536231884058,low,LocalRidge_k30_a100
75,AGC_076,Puebla,Chignahuapan,0.3101079000135918,11.234422859410808,0.9638983488607664,0.6862763560109004,0.6956521739130435,0.2318840579710145,0.06521739130434782,0.07971014492753623,0.2681159420289855,low,LocalRidge_k30_a100
81,AGC_082,Hidalgo,Almoloya,0.49482984610785635,13.092844410985785,0.9848872510941606,0.5704451165204527,0.3333333333333333,0.10144927536231885,0.717391304347826,0.21014492753623187,0.34057971014492755,mid,GeoKNN_10
84,AGC_085,Puebla,Chignahuapan,0.2263552015395293,7.7225094894175355,0.96966772192943,0.7812559521920185,0.7536231884057971,0.6231884057971014,0.10869565217391304,0.028985507246376812,0.37862318840579706,mid,GeoKNN_10
85,AGC_086,Tlaxcala,Calpulalpan,0.5754764040559476,7.117270715919474,0.983091494936606,0.3249585982021913,0.30434782608695654,0.6884057971014492,0.6376811594202898,0.6884057971014492,0.5797101449275361,mid,GeoKNN_10
