family,method,x_support_tier,n_predictions,rmse,mae
target_matched,GlobalRidge_C1_1000,high,89,0.6905665828988842,0.5881125038405572
target_matched,GlobalMean,high,89,0.7415487863828366,0.6320433221359899
target_matched,LocalRidge_k30_a100,low,178,0.4174365780407139,0.31702048234131935
target_matched,LocalRidge_k20_a100,low,178,0.4183613458340702,0.3218259124257434
target_matched,Graph_k8_lam2,low,178,0.4240760515519523,0.3421945629892722
target_matched,Blend_PLS8_Graph8,low,178,0.4363392472123604,0.3451431511550072
target_matched,Graph_k6_lam0p5,low,178,0.4410393471875606,0.362413820951075
target_matched,GeoAgro_25_75_KNN5,low,178,0.4443767497856925,0.3684235937299172
target_matched,GeoKNN_10,low,178,0.4445924509758842,0.35198146287196114
target_matched,Blend_Ridge100_Geo5,low,178,0.45173622701257204,0.3420048444956685
target_matched,GeoAgro_50_50_KNN5,low,178,0.4530809789644896,0.36841338203701346
target_matched,Blend_PLS8_Geo5,low,178,0.45912278127964906,0.36126362739591206
target_matched,GeoAgroTemporal_KNN5,low,178,0.4606416112349221,0.3630384869088039
target_matched,GeoKNN_3,low,178,0.46532185162697526,0.3638367354271334
target_matched,MunicipalityShrink_3,low,178,0.4731007940853578,0.3836379378587629
target_matched,GeoAgro_75_25_KNN5,low,178,0.47619591045509835,0.3750296335990635
target_matched,GeoKNN_5,low,178,0.4774147225403789,0.37732612590953146
target_matched,GlobalPLS_C0_4,low,178,0.4822467236365649,0.3619127729131653
target_matched,MunicipalityShrink_8,low,178,0.5237377126622638,0.4320303835282616
target_matched,GlobalRidge_C1_10,low,178,0.5315813187630836,0.41898875269354624
target_matched,AgroKNN_5,low,178,0.5317425538238707,0.4259095229999341
target_matched,GlobalPLS_C0_8,low,178,0.5420845971903742,0.42624069996311365
target_matched,GlobalRidge_C1_100,low,178,0.5528563649359041,0.43392123762541535
target_matched,GlobalPLS_C0_12,low,178,0.5886448962244678,0.474010881291118
target_matched,StateMean,low,178,0.641344424101581,0.5406969088413239
target_matched,GlobalRidge_C1_1000,low,178,0.7192036782491983,0.6039373729774355
target_matched,GlobalMean,low,178,0.7606221886122401,0.6438011120120468
target_matched,GeoKNN_10,mid,389,0.5644644391361121,0.3901749664796383
target_matched,LocalRidge_k20_a100,mid,389,0.5670223377145203,0.3745427499131999
target_matched,Graph_k8_lam2,mid,389,0.5689230037341315,0.3758924826003497
target_matched,LocalRidge_k30_a100,mid,389,0.5725476312090055,0.3736764742272616
target_matched,Blend_PLS8_Graph8,mid,389,0.5753881928358945,0.40330669971018235
target_matched,GeoKNN_5,mid,389,0.576649447996676,0.4157707976178364
target_matched,Graph_k6_lam0p5,mid,389,0.5795465778542083,0.40762035201058205
target_matched,Blend_PLS8_Geo5,mid,389,0.5820499591849246,0.4184822227687418
target_matched,GeoAgro_75_25_KNN5,mid,389,0.5833649424449736,0.4213001199305879
target_matched,MunicipalityShrink_3,mid,389,0.5856361239053137,0.36989132144057246
target_matched,GeoKNN_3,mid,389,0.5861299017506876,0.4257667545142671
target_matched,GlobalPLS_C0_4,mid,389,0.5907397591571107,0.4044720960814755
target_matched,GeoAgroTemporal_KNN5,mid,389,0.5924962277464236,0.42842220636611883
target_matched,GeoAgro_50_50_KNN5,mid,389,0.5929063647592409,0.42700084132363497
target_matched,Blend_Ridge100_Geo5,mid,389,0.5957673659464766,0.425646584768527
target_matched,GeoAgro_25_75_KNN5,mid,389,0.5962093630809552,0.42811391014158434
target_matched,MunicipalityShrink_8,mid,389,0.6051783806548388,0.39192449021655745
target_matched,GlobalRidge_C1_10,mid,389,0.6198230580518582,0.4302268500659542
target_matched,GlobalPLS_C0_8,mid,389,0.647128150692388,0.47606630135689054
target_matched,AgroKNN_5,mid,389,0.6489246357902,0.46475716532728995
target_matched,GlobalPLS_C0_12,mid,389,0.6657640754319145,0.48640329240783503
target_matched,StateMean,mid,389,0.6765552266988533,0.46958638191286006
target_matched,GlobalRidge_C1_100,mid,389,0.7068049819680026,0.5552983691130862
target_matched,GlobalRidge_C1_1000,mid,389,0.8698719341032033,0.7575478381796452
target_matched,GlobalMean,mid,389,0.9116721278815241,0.8032427848302546
