protocol,ablation,model,fold,n_features,n_train,n_validation,rmse,mae,r2
fold_municipality_grouped,A2_static_plus_siap_history,ExtraTrees,1,129,105,33,0.9198842402820138,0.8345491962190446,-4.964386148222833
fold_municipality_grouped,A2_static_plus_siap_history,ExtraTrees,2,129,122,16,1.2904516383805062,1.2121545359096926,-8.433678918692783
fold_municipality_grouped,A2_static_plus_siap_history,ExtraTrees,3,129,128,10,0.8372748320204302,0.8243903095238091,-20.928403901743525
fold_municipality_grouped,A2_static_plus_siap_history,ExtraTrees,4,129,65,73,0.817238903275458,0.7147479593389877,-0.8709965893105314
fold_municipality_grouped,A2_static_plus_siap_history,ExtraTrees,5,129,132,6,0.8965872190056531,0.8762440542328048,-0.2832184624152283
fold_municipality_grouped,A3_clean_plus_climate,DummyMean,1,153,105,33,1.2537939836892478,1.1958787878787878,-10.080306122977344
fold_municipality_grouped,A3_clean_plus_climate,DummyMean,2,153,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A3_clean_plus_climate,DummyMean,3,153,128,10,0.6354992856337572,0.609828125,-11.632842504958402
fold_municipality_grouped,A3_clean_plus_climate,DummyMean,4,153,65,73,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,A3_clean_plus_climate,DummyMean,5,153,132,6,0.8486810277805203,0.7869696969696968,-0.14975286243523267
fold_municipality_grouped,A3_clean_plus_climate,Ridge,1,153,105,33,0.44752377096195795,0.3688285546139742,-0.4116648890114949
fold_municipality_grouped,A3_clean_plus_climate,Ridge,2,153,122,16,1.133021739176969,0.9693896381998512,-6.272338900876001
fold_municipality_grouped,A3_clean_plus_climate,Ridge,3,153,128,10,0.8086865845243394,0.7523202161900234,-19.45650448839941
fold_municipality_grouped,A3_clean_plus_climate,Ridge,4,153,65,73,0.6123285397805995,0.47724442938085165,-0.050373931439812614
fold_municipality_grouped,A3_clean_plus_climate,Ridge,5,153,132,6,0.711582962972193,0.6615704466555482,0.19171113666034312
fold_municipality_grouped,A3_clean_plus_climate,ExtraTrees,1,153,105,33,0.8537120443491029,0.7670781297097954,-4.137149600854777
fold_municipality_grouped,A3_clean_plus_climate,ExtraTrees,2,153,122,16,1.3318943569504478,1.2659406845238101,-9.049331710280379
fold_municipality_grouped,A3_clean_plus_climate,ExtraTrees,3,153,128,10,0.9313113476281396,0.9127169639249644,-26.130683669208935
fold_municipality_grouped,A3_clean_plus_climate,ExtraTrees,4,153,65,73,0.8210359613379683,0.7186504935855633,-0.8884230398295669
fold_municipality_grouped,A3_clean_plus_climate,ExtraTrees,5,153,132,6,0.8617117913982911,0.8469044312169324,-0.18533083888660795
fold_municipality_grouped,A4_clean_plus_basic_history,DummyMean,1,692,105,33,1.2537939836892478,1.1958787878787878,-10.080306122977344
fold_municipality_grouped,A4_clean_plus_basic_history,DummyMean,2,692,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A4_clean_plus_basic_history,DummyMean,3,692,128,10,0.6354992856337572,0.609828125,-11.632842504958402
fold_municipality_grouped,A4_clean_plus_basic_history,DummyMean,4,692,65,73,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,A4_clean_plus_basic_history,DummyMean,5,692,132,6,0.8486810277805203,0.7869696969696968,-0.14975286243523267
fold_municipality_grouped,A4_clean_plus_basic_history,Ridge,1,692,105,33,0.6546811500448255,0.5355010742950991,-2.0210580424333506
fold_municipality_grouped,A4_clean_plus_basic_history,Ridge,2,692,122,16,1.3556124896480553,1.2436426818830626,-9.41043188437682
fold_municipality_grouped,A4_clean_plus_basic_history,Ridge,3,692,128,10,0.7985019530384202,0.6365082501188842,-18.944489005166588
fold_municipality_grouped,A4_clean_plus_basic_history,Ridge,4,692,65,73,0.8313073183170685,0.6947601371923792,-0.9359678407155743
fold_municipality_grouped,A4_clean_plus_basic_history,Ridge,5,692,132,6,0.9184029920587173,0.814881721464476,-0.3464247679642496
fold_municipality_grouped,A4_clean_plus_basic_history,ExtraTrees,1,692,105,33,0.8864357423794469,0.8022627777777793,-4.538522371039064
fold_municipality_grouped,A4_clean_plus_basic_history,ExtraTrees,2,692,122,16,1.1499865600114483,1.0732053819444447,-6.491747877428257
fold_municipality_grouped,A4_clean_plus_basic_history,ExtraTrees,3,692,128,10,0.8779011763312529,0.8677522777777785,-23.108057036622867
fold_municipality_grouped,A4_clean_plus_basic_history,ExtraTrees,4,692,65,73,0.9450019802748376,0.8524684322678849,-1.5017296074429258
fold_municipality_grouped,A4_clean_plus_basic_history,ExtraTrees,5,692,132,6,0.6774015841153503,0.6531363888888893,0.2674994957528791
fold_municipality_grouped,A5_clean_full,DummyMean,1,692,105,33,1.2537939836892478,1.1958787878787878,-10.080306122977344
fold_municipality_grouped,A5_clean_full,DummyMean,2,692,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A5_clean_full,DummyMean,3,692,128,10,0.6354992856337572,0.609828125,-11.632842504958402
fold_municipality_grouped,A5_clean_full,DummyMean,4,692,65,73,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,A5_clean_full,DummyMean,5,692,132,6,0.8486810277805203,0.7869696969696968,-0.14975286243523267
fold_municipality_grouped,A5_clean_full,Ridge,1,692,105,33,0.6546811500448255,0.5355010742950991,-2.0210580424333506
fold_municipality_grouped,A5_clean_full,Ridge,2,692,122,16,1.3556124896480553,1.2436426818830626,-9.41043188437682
fold_municipality_grouped,A5_clean_full,Ridge,3,692,128,10,0.7985019530384202,0.6365082501188842,-18.944489005166588
fold_municipality_grouped,A5_clean_full,Ridge,4,692,65,73,0.8313073183170685,0.6947601371923792,-0.9359678407155743
fold_municipality_grouped,A5_clean_full,Ridge,5,692,132,6,0.9184029920587173,0.814881721464476,-0.3464247679642496
fold_municipality_grouped,A5_clean_full,ExtraTrees,1,692,105,33,0.8864357423794467,0.8022627777777791,-4.53852237103906
fold_municipality_grouped,A5_clean_full,ExtraTrees,2,692,122,16,1.1499865600114485,1.073205381944445,-6.491747877428258
fold_municipality_grouped,A5_clean_full,ExtraTrees,3,692,128,10,0.8779011763312529,0.8677522777777785,-23.108057036622867
fold_municipality_grouped,A5_clean_full,ExtraTrees,4,692,65,73,0.9450019802748378,0.8524684322678849,-1.5017296074429267
fold_municipality_grouped,A5_clean_full,ExtraTrees,5,692,132,6,0.6774015841153505,0.6531363888888894,0.26749949575287857
fold_municipality_grouped,A6_competition_remote_weather,DummyMean,1,1396,105,33,1.2537939836892478,1.1958787878787878,-10.080306122977344
fold_municipality_grouped,A6_competition_remote_weather,DummyMean,2,1396,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A6_competition_remote_weather,DummyMean,3,1396,128,10,0.6354992856337572,0.609828125,-11.632842504958402
