neighbor_scope,metric,representation,query_id,query_split,neighbor_id,neighbor_split,rank,distance,same_state,same_municipality,neighbor_y
target_to_train,euclidean_pca,C0_base,AGC_091,PREDICCION,AGC_161,ENTRENAMIENTO,4,27.609846510253693,True,True,4.46
target_to_train,euclidean_pca,C0_base,AGC_091,PREDICCION,AGC_135,ENTRENAMIENTO,5,28.564686857831518,True,True,4.49
target_to_train,euclidean_pca,C0_base,AGC_093,PREDICCION,AGC_138,ENTRENAMIENTO,1,16.215661771123116,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_093,PREDICCION,AGC_058,ENTRENAMIENTO,2,17.968513609827703,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_093,PREDICCION,AGC_037,ENTRENAMIENTO,3,18.142987072342155,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_093,PREDICCION,AGC_053,ENTRENAMIENTO,4,18.6889619328949,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_093,PREDICCION,AGC_163,ENTRENAMIENTO,5,19.650982995346514,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_094,PREDICCION,AGC_056,ENTRENAMIENTO,1,23.390407259187924,True,True,5.07
target_to_train,euclidean_pca,C0_base,AGC_094,PREDICCION,AGC_097,ENTRENAMIENTO,2,23.475759564757332,True,True,4.69
target_to_train,euclidean_pca,C0_base,AGC_094,PREDICCION,AGC_021,ENTRENAMIENTO,3,25.742714569629896,True,True,4.94
target_to_train,euclidean_pca,C0_base,AGC_094,PREDICCION,AGC_015,ENTRENAMIENTO,4,27.953070305639944,True,True,2.64
target_to_train,euclidean_pca,C0_base,AGC_094,PREDICCION,AGC_193,ENTRENAMIENTO,5,28.49811155478772,True,True,4.57
target_to_train,euclidean_pca,C0_base,AGC_095,PREDICCION,AGC_181,ENTRENAMIENTO,1,18.119213647335815,True,True,4.51
target_to_train,euclidean_pca,C0_base,AGC_095,PREDICCION,AGC_083,ENTRENAMIENTO,2,21.86037952489605,False,False,4.61
target_to_train,euclidean_pca,C0_base,AGC_095,PREDICCION,AGC_102,ENTRENAMIENTO,3,22.76940895716062,True,True,4.4
target_to_train,euclidean_pca,C0_base,AGC_095,PREDICCION,AGC_185,ENTRENAMIENTO,4,25.171506784801412,True,True,5.01
target_to_train,euclidean_pca,C0_base,AGC_095,PREDICCION,AGC_090,ENTRENAMIENTO,5,26.08915043095159,True,True,4.68
target_to_train,euclidean_pca,C0_base,AGC_107,PREDICCION,AGC_146,ENTRENAMIENTO,1,13.5443898597437,True,True,4.58
target_to_train,euclidean_pca,C0_base,AGC_107,PREDICCION,AGC_184,ENTRENAMIENTO,2,20.90386537554348,True,True,4.47
target_to_train,euclidean_pca,C0_base,AGC_107,PREDICCION,AGC_045,ENTRENAMIENTO,3,26.039123472436646,False,False,4.1
