Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,cvegeo,Preciomediorural
2004,13,Hidalgo,61,Tulancingo,1,Tulancingo,16,Cuautepec de Hinojosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,8501.0,7203.0,1298.0,13786.0,1.91,1800.0,24814800.0,13016,
2004,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2315.0,2315.0,0.0,4861.5,2.1,1750.0,8507625.0,13021,
2004,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11679.0,11679.0,0.0,27094.0,2.32,1800.0,48769200.0,13057,
2004,21,Puebla,112,Zacatlán,1,Zacatlán,53,Chignahuapan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7052.0,6750.0,302.0,14174.8,2.1,2000.0,28349600.0,21053,
2004,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,6,Calpulalpan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,8334.0,8334.0,0.0,17501.4,2.1,2000.0,35002800.0,29006,
2004,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,21,Nanacamilpa de Mariano Arista,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2839.0,2839.0,0.0,5961.9,2.1,2000.0,11923800.0,29021,
2005,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,127.0,127.0,0.0,292.1,2.3,1450.0,423545.0,13007,
2005,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11869.0,11869.0,0.0,24924.9,2.1,1450.0,36141105.0,13007,
2005,13,Hidalgo,61,Tulancingo,1,Tulancingo,16,Cuautepec de Hinojosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,8849.0,8749.0,100.0,13290.0,1.52,1600.0,21264000.0,13016,
2005,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2757.5,2757.5,0.0,7169.5,2.6,1450.0,10395775.0,13021,
2005,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,12545.0,8045.0,4500.0,14481.0,1.8,1600.0,23169600.0,13057,
2005,21,Puebla,112,Zacatlán,1,Zacatlán,53,Chignahuapan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7310.0,7310.0,0.0,12164.0,1.66,2000.0,24328000.0,21053,
2005,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,6,Calpulalpan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,10420.0,10420.0,0.0,32302.0,3.1,1950.0,62988900.0,29006,
2005,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,21,Nanacamilpa de Mariano Arista,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,3208.0,3208.0,0.0,9944.8,3.1,1950.0,19392360.0,29021,
2006,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,92.0,92.0,0.0,279.0,3.03,1700.0,474300.0,13007,
2006,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11391.5,11243.0,148.5,33729.0,3.0,1700.0,57339300.0,13007,
2006,13,Hidalgo,61,Tulancingo,1,Tulancingo,16,Cuautepec de Hinojosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7540.0,7415.0,125.0,20762.0,2.8,2100.0,43600200.0,13016,
2006,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2644.0,2644.0,0.0,7403.2,2.8,1700.0,12585440.0,13021,
2006,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,11980.0,11980.0,0.0,34246.0,2.86,2100.0,71916600.0,13057,
2006,21,Puebla,112,Zacatlán,1,Zacatlán,53,Chignahuapan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,7232.0,5181.0,2051.0,9325.8,1.8,2000.0,18651600.0,21053,
2006,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,6,Calpulalpan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,9445.0,9445.0,0.0,31168.5,3.3,2295.0,71531707.5,29006,
2006,29,Tlaxcala,165,Calpulalpan,1,Calpulalpan,21,Nanacamilpa de Mariano Arista,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2713.0,2713.0,0.0,8952.9,3.3,2295.0,20546905.5,29021,
2007,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,1,Riego,200201,Tonelada,5920000,Cebada grano,16.5,13.5,3.0,33.75,2.5,2200.0,74250.0,13007,
2007,13,Hidalgo,62,Pachuca,3,Apan,7,Almoloya,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,9218.0,8984.0,234.0,16171.2,1.8,2100.0,33959520.0,13007,
2007,13,Hidalgo,61,Tulancingo,1,Tulancingo,16,Cuautepec de Hinojosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,8347.0,6724.81,1622.19,12911.58,1.92,2500.0,32278950.0,13016,
2007,13,Hidalgo,62,Pachuca,3,Apan,21,Emiliano Zapata,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,2537.0,2519.0,18.0,4786.1,1.9,2100.0,10050810.0,13021,
2007,13,Hidalgo,61,Tulancingo,1,Tulancingo,57,Singuilucan,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,12100.0,11809.77,290.23,25482.9,2.16,2500.0,63707250.0,13057,
